scheme_code,date,nav
125497,2020-01-01,99.0626
125497,2020-01-02,97.4777
125497,2020-01-03,96.3879
125497,2020-01-06,95.3993
125497,2020-01-07,95.6564
125497,2020-01-08,95.7371
125497,2020-01-09,97.9092
125497,2020-01-10,97.6269
125497,2020-01-13,97.118
125497,2020-01-14,96.0547
125497,2020-01-15,96.7203
125497,2020-01-16,98.0965
125497,2020-01-17,98.4503
125497,2020-01-20,96.2848
125497,2020-01-21,95.2271
125497,2020-01-22,94.3275
125497,2020-01-23,94.2115
125497,2020-01-24,94.7028
125497,2020-01-27,94.6663
125497,2020-01-28,94.5456
125497,2020-01-29,95.2147
125497,2020-01-30,94.9946
125497,2020-01-31,94.4645
125497,2020-02-03,95.0712
125497,2020-02-04,94.386
125497,2020-02-05,93.9495
125497,2020-02-06,94.7085
125497,2020-02-07,95.5247
125497,2020-02-10,94.6789
125497,2020-02-11,94.9034
125497,2020-02-12,95.0684
125497,2020-02-13,93.8991
125497,2020-02-14,94.9512
125497,2020-02-17,95.0638
125497,2020-02-18,95.749
125497,2020-02-19,95.7234
125497,2020-02-20,95.4791
125497,2020-02-21,95.9792
125497,2020-02-24,96.4071
125497,2020-02-25,97.2511
125497,2020-02-26,98.5996
125497,2020-02-27,98.823
125497,2020-02-28,98.0595
125497,2020-03-02,97.146
125497,2020-03-03,95.256
125497,2020-03-04,95.1087
125497,2020-03-05,94.8022
125497,2020-03-06,96.1388
125497,2020-03-09,95.1176
125497,2020-03-10,94.2882
125497,2020-03-11,94.1401
125497,2020-03-12,94.6557
125497,2020-03-13,95.9919
125497,2020-03-16,95.7389
125497,2020-03-17,96.4395
125497,2020-03-18,96.3328
125497,2020-03-19,95.3002
125497,2020-03-20,94.8487
125497,2020-03-23,93.9641
125497,2020-03-24,92.3093
125497,2020-03-25,92.9029
125497,2020-03-26,93.4661
125497,2020-03-27,93.3114
125497,2020-03-30,93.6396
125497,2020-03-31,93.9019
125497,2020-04-01,95.3774
125497,2020-04-02,95.3768
125497,2020-04-03,96.0096
125497,2020-04-06,94.5387
125497,2020-04-07,95.2737
125497,2020-04-08,95.8449
125497,2020-04-09,97.082
125497,2020-04-10,97.2946
125497,2020-04-13,97.7551
125497,2020-04-14,98.9885
125497,2020-04-15,99.2606
125497,2020-04-16,99.2478
125497,2020-04-17,98.1879
125497,2020-04-20,98.7357
125497,2020-04-21,100.3432
125497,2020-04-22,99.0833
125497,2020-04-23,100.0511
125497,2020-04-24,98.8179
125497,2020-04-27,99.6316
125497,2020-04-28,99.7138
125497,2020-04-29,99.7508
125497,2020-04-30,100.7574
125497,2020-05-01,101.4477
125497,2020-05-04,100.8763
125497,2020-05-05,101.0399
125497,2020-05-06,100.3224
125497,2020-05-07,101.0725
125497,2020-05-08,103.1828
125497,2020-05-11,103.4895
125497,2020-05-12,103.9701
125497,2020-05-13,105.0199
125497,2020-05-14,104.8509
125497,2020-05-15,105.533
125497,2020-05-18,105.2025
125497,2020-05-19,105.8118
125497,2020-05-20,105.3909
125497,2020-05-21,106.4941
125497,2020-05-22,107.0847
125497,2020-05-25,108.3048
125497,2020-05-26,108.0119
125497,2020-05-27,109.3411
125497,2020-05-28,108.9113
125497,2020-05-29,107.3805
125497,2020-06-01,108.3443
125497,2020-06-02,106.7124
125497,2020-06-03,106.5494
